"hc_x","hc_y","next_event_type","event_and_next_event_type","event_description","batter_name","pitcher_name","outs","balls","strikes","hit_trajectory","fld_score","bat_score","post_fld_score","post_bat_score","is_hit_into_play","is_hit_into_play_basehit","bat_side","pitch_hand","sport_id","game_pk","at_bat_number","event_inning","top_inning_sw","game_date"
,,,"strikeout","Miguel Vargas strikes out swinging.  ","Miguel Vargas","Connor Higgins",1,0,2,,5,2,5,2,0,0,"R","L",13,"576753.00",66,8,"N","2019-08-30"
,,,"strikeout","Dillon Paulson strikes out swinging.  ","Dillon Paulson","Nathan Bates",2,3,2,,5,2,5,2,0,0,"L","R",13,"576753.00",61,7,"N","2019-08-30"
,,,"strikeout","Garrett Hope strikes out swinging.  ","Garrett Hope","Connor Higgins",1,2,2,,5,2,5,2,0,0,"R","L",13,"576753.00",74,9,"N","2019-08-30"
,,,"walk","Starling Heredia walks.  ","Starling Heredia","Kyle Bradish",0,3,2,,3,0,3,0,0,0,"R","R",13,"576753.00",23,3,"N","2019-08-30"
"116.58","155.13","field_out","field_out","Devin Mann grounds out, shortstop Leonardo Rivas to first baseman Devin Davis.  ","Devin Mann","Connor Higgins",0,1,1,"ground_ball",5,2,5,2,1,0,"R","L",13,"576753.00",65,8,"N","2019-08-30"
"67.33","139.24","double","double","Starling Heredia doubles (15) on a soft line drive to left fielder Spencer Griffin.  ","Starling Heredia","Kyle Bradish",0,1,2,"line_drive",4,1,4,1,1,1,"R","R",13,"576753.00",41,5,"N","2019-08-30"
"100.69","169.43","field_out","field_out","Devin Mann grounds out, third baseman Zane Gurwitz to first baseman Devin Davis.  ","Devin Mann","Kyle Bradish",2,1,2,"ground_ball",3,1,3,1,1,0,"R","R",13,"576753.00",27,3,"N","2019-08-30"
,,,"walk","Miguel Vargas walks.  ","Miguel Vargas","Kyle Bradish",0,3,1,,3,0,3,0,0,0,"R","R",13,"576753.00",15,2,"N","2019-08-30"
"144.38","122.56","single","single","Jeren Kendall singles on a soft fly ball to center fielder Jeisson Rosario.   Garrett Hope scores.    Deacon Liput scores.    Brayan Morales to 3rd.  ","Jeren Kendall","Garrett Richards",2,1,2,"fly_ball",1,1,1,3,1,1,"L","R",13,"576752.00",20,2,"N","2019-08-29"
"139.62","113.82","single","single","Devin Mann singles on a line drive to center fielder Jeisson Rosario.   Brayan Morales scores.  Jeren Kendall out at 3rd on the throw, center fielder Jeisson Rosario to third baseman Gabriel Arias.  ","Devin Mann","Caleb Boushley",2,2,2,"line_drive",1,3,1,4,1,1,"R","R",13,"576752.00",21,2,"N","2019-08-29"
"85.60","94.76","sac_fly","sac_fly","Jacob Amaya out on a sacrifice fly to left fielder Jack Suwinski.   Miguel Vargas scores.  ","Jacob Amaya","Caleb Boushley",0,1,2,"fly_ball",3,4,3,5,1,0,"R","R",13,"576752.00",29,3,"N","2019-08-29"
"103.08","111.44","single","single","Garrett Hope singles on a fly ball to left fielder Jack Suwinski.  ","Garrett Hope","Caleb Boushley",0,1,2,"fly_ball",3,7,3,7,1,1,"R","R",13,"576752.00",52,6,"N","2019-08-29"
"126.91","197.23","field_out","field_out","Garrett Hope pops out to catcher Jalen Washington on the infield fly rule.  ","Garrett Hope","Caleb Boushley",1,0,0,"popup",3,5,3,5,1,0,"R","R",13,"576752.00",32,3,"N","2019-08-29"
,,,"hit_by_pitch","Marcus Chiu hit by pitch.    Jacob Amaya to 2nd.  ","Marcus Chiu","Garrett Richards",1,0,1,,1,0,1,0,0,0,"R","R",13,"576752.00",16,2,"N","2019-08-29"
